"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";
"1";"";"BATTERYCR1220_SMT";"CR1220";"B1";"CR1220 SMT - Digikey: 3001K-ND";"";"";"";"";"";
"1";"";"CRYSTAL8.0X3.8";"CRYSTAL_8X3.8";"Y1";"Crystals";"";"";"";"";"";
"1";"";"DISP_LCD_2.8IN";"DISP_LCD_2.8IN";"U2";"2.8" TFT LCD with Touchscreen Breakout Board w/MicroSD Socket - ILI9341";"";"";"";"";"";
"1";"";"MA03-1";"MA03-1";"M1";"PIN HEADER";"";"";"unknown";"unknown";"48";
"3";"2.2k";"R_R0603";"R0603";"R5, R6, R7";"RESISTOR, American symbol";"";"";"";"";"";
"2";"2.2k";"R_R0805";"R0805";"R3, R4";"RESISTOR, American symbol";"";"";"";"";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"LS1";"CEM-1203 Buzzer";"";"";"";"";"";
"1";"DS1307";"DS1307";"DIL08";"U3";"DS1307";"";"";"";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";"";"";"";"";
"3";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1, SW2, SW3";"";"";"";"";"";"";
